Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,WL Cap,WL Act,WL Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location
NR,21774,ECS,122A,A01,M,4.000,Algorithm Design & Anyls,TR,04:40 pm-06:00 pm,50,0,50,999,0,999,0,0,0,Yelena A. Frid (P),01/08-03/15,TBA
 , , , , , , , ,T,08:00 am-08:50 am, , , , , , , , , ,TBA,01/08-03/15,TBA
NR,21775,ECS,122A,A02,M,4.000,Algorithm Design & Anyls,M,05:10 pm-06:00 pm,50,0,50,999,0,999,0,0,0,TBA,01/08-03/15,TBA
 , , , , , , , ,TR,04:40 pm-06:00 pm, , , , , , , , , ,Yelena A. Frid (P),01/08-03/15,TBA
NR,21776,ECS,122A,A03,M,4.000,Algorithm Design & Anyls,M,11:00 am-11:50 am,50,0,50,999,0,999,0,0,0,TBA,01/08-03/15,TBA
 , , , , , , , ,TR,04:40 pm-06:00 pm, , , , , , , , , ,Yelena A. Frid (P),01/08-03/15,TBA
NR,21777,ECS,122A,A04,M,4.000,Algorithm Design & Anyls,TR,04:40 pm-06:00 pm,50,0,50,999,0,999,0,0,0,Yelena A. Frid (P),01/08-03/15,TBA
 , , , , , , , ,F,08:00 am-08:50 am, , , , , , , , , ,TBA,01/08-03/15,TBA
NR,21778,ECS,122A,A05,M,4.000,Algorithm Design & Anyls,TR,04:40 pm-06:00 pm,50,0,50,999,0,999,0,0,0,Yelena A. Frid (P),01/08-03/15,TBA
 , , , , , , , ,F,05:10 pm-06:00 pm, , , , , , , , , ,TBA,01/08-03/15,TBA
NR,21779,ECS,122B,A01,M,4.000,Algorithm Design & Anlys,MWF,11:00 am-11:50 am,50,0,50,999,0,999,0,0,0,Setareh Rafatirad (P),01/08-03/15,TBA
 , , , , , , , ,W,09:00 am-09:50 am, , , , , , , , , ,TBA,01/08-03/15,TBA
NR,21780,ECS,122B,A02,M,4.000,Algorithm Design & Anlys,MWF,11:00 am-11:50 am,50,0,50,999,0,999,0,0,0,Setareh Rafatirad (P),01/08-03/15,TBA
 , , , , , , , ,T,05:10 pm-06:00 pm, , , , , , , , , ,TBA,01/08-03/15,TBA
NR,21781,ECS,122B,A03,M,4.000,Algorithm Design & Anlys,MWF,11:00 am-11:50 am,50,0,50,999,0,999,0,0,0,Setareh Rafatirad (P),01/08-03/15,TBA
 , , , , , , , ,F,08:00 am-08:50 am, , , , , , , , , ,TBA,01/08-03/15,TBA
NR,44613,ECS,129,001,M,4.000,Comp Structural Bioinfo,TR,09:00 am-10:20 am,85,0,85,999,0,999,0,0,0,Patrice A. Koehl (P),01/08-03/15,TBA
 , , , , , , , ,T,08:00 am-08:50 am, , , , , , , , , ,TBA,01/08-03/15,TBA
NR,21783,ECS,132,A01,M,4.000,Prob & Sta Model for CS,M,10:00 am-10:50 am,62,0,62,999,0,999,0,0,0,TBA,01/08-03/15,TBA
 , , , , , , , ,TR,06:10 pm-07:30 pm, , , , , , , , , ,Yelena A. Frid (P),01/08-03/15,TBA
NR,21784,ECS,132,A02,M,4.000,Prob & Sta Model for CS,TR,06:10 pm-07:30 pm,63,0,63,999,0,999,0,0,0,Yelena A. Frid (P),01/08-03/15,TBA
